precio,marca,producto,Ean,Url,Categ
"$85,00",Vivere,Suavizante para ropa Vivere regular plancha fácil 810 cc.,7791290013582,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6957&p=2,Limpieza/Limpieza de la ropa/Suavizantes para la ropa/¡¡CYBER MONDAY!!/Limpieza/Limpieza de la ropa/40% Off en Supermercado/Cuidado de la ropa/General
"$30,00",Ayudín,Lavandina Ayudín concentrada 1 l.,7790132098459,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6957&p=2,Limpieza/Lavandinas/¡¡CYBER MONDAY!!/30% Off en Supermercado/Limpieza/Lavandinas/¡¡GIGANTE!!/Limpieza/Lavandinas
"$79,00",Elegante,Rollo de cocina Elegante gigante doble hoja 200 u.,7793344009206,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6957&p=2,Limpieza/Rollos de cocina y servilletas/¡¡CYBER MONDAY!!/30% Off en Supermercado/Limpieza/Rollos de cocina y papeles/¡¡GIGANTE!!/Limpieza/Papeles y rollos de cocina
"$98,00",Cif,Limpiador líquido Cif vidrios repuesto económico 900 cc.,7791290007710,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6957&p=2,"Limpieza/Limpieza del hogar/Limpiavidrios/¡¡CYBER MONDAY!!/30% Off en Supermercado/Limpieza/Limpieza del hogar, cocina y baño/General/¡¡GIGANTE!!/Limpieza/Limpieza del hogar, cocina y baño/Limpieza del hogar"
"$226,00",Woolite,Jabón líquido para ropa Woolite bebé repuesto 900 cc.,7791130003643,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6957&p=2,Limpieza/Limpieza de la ropa/Jabones para la ropa/¡¡CYBER MONDAY!!/30% Off en Supermercado/Limpieza/Limpieza de la ropa
"$389,00",Ace,Jabón líquido para ropa Ace clásico 3 l.,7500435124720,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6957&p=2,Limpieza/Limpieza de la ropa/Jabones para la ropa/¡¡CYBER MONDAY!!/30% Off en Supermercado/Limpieza/Limpieza de la ropa/Procter
"$241,00",Poett,Limpiador líquido Poett lavanda 4 l.,7793253001988,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6957&p=2,"Limpieza/Limpieza del hogar/Limpiadores de piso/¡¡CYBER MONDAY!!/30% Off en Supermercado/Limpieza/Limpieza del hogar, cocina y baño"
"$523,00",Finish,Detergente para lavavajillas en polvo Finish repuesto 1.5 Kg.,7791130962438,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6957&p=2,"Limpieza/Limpieza de cocina/Para el lavavajillas/¡¡CYBER MONDAY!!/Limpieza/Limpieza del hogar, cocina y baño/40% Off en Supermercado"
"$418,00",Pantene,Acondicionador Pantene restauración 750 cc.,7500435012096,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6910&p=2,Perfumería/Cuidado del cabello/Acondicionadores/¡¡CYBER MONDAY!!/30% Off en Supermercado/Perfumería/Cuidado del cabello/Procter
"$418,00",Pantene,Shampoo Pantene restauración 700 cc.,7500435012065,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6910&p=2,Perfumería/Cuidado del cabello/Shampoos/¡¡CYBER MONDAY!!/30% Off en Supermercado/Perfumería/Cuidado del cabello/Procter/30%Carrusel
